No.,No. 2,Vendor Asset No.,Description,Virtual Asset,Status Code,Condition Code,Active,Critical,Category Code,Type,Manufacturer Code,Model Number,Serial Number,Parent No.,Parent Description,Person/Group Responsible,Notes,Favorite,Open Form Exists,Risk Assessment No.,Max Handout Time (days),In Use,Handed To,Asset Location Code,Asset Location Name,Asset Responsibility Center,Asset Location Address,Asset Location County,Asset Location Country/Region Code,Disable Location Inheritance,Certification Authority,Static Coordinates,Latitude,Longitude,Level,On Transfer Order,In Transit,Installation Date,Lifetime (Years),Expected End Of Life Date,Warranty No.,Warranty Expiration Date,Expiry Notification Date,Warranty Counter Category,Warranty Counter Limit,Warranty Counter Notification Threshold,Number Of Warranties,During Replacement,Replacement Work Order No.,Replacement Asset No.,Connected to Type,Connected to No.,Gen. Bus. Posting Group,Expected Maintenance Strategy,Estimated Cost (h),Ownership Code,Acquisition Date,Acquisition Cost,Current Value,Replacement Cost,Insurance Policy
3100,,,Crushing Area - (Cost Centre 201),True,OPERATING,,True,False,MECHANICAL,Asset,,,,,,,,False,True,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3105,,,ROM Stockpiles,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3100,Crushing Area - (Cost Centre 201),,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110,,,Primary Crushing and Stockpile Feed Conveyor,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3100,Crushing Area - (Cost Centre 201),,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-BN-06,,,ROM Bin,False,WO READY,WO READY,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-BN-44,,,Tramp Steel Magnet Bin,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-CH-08,,,Vibrating Grizzly Feeder Feed Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-CH-12,,,Vibrating Grizzly Feeder Discharge Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-CH-13,,,Vibrating Grizzly Feeder Undersize Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-CH-18,,,Jaw Crusher Discharge Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
3110-CH-46,,,Conveyor Head Chute,False,OPERATING,GREEN TAG,True,False,MECHANICAL,Asset,,,,3110,Primary Crushing and Stockpile Feed Conveyor,,,False,False,,0,False,,CRUSHING AREA,Crushing Area,,,,,False,,False,0,0,0,False,False,,0,,,,,,0,0,0,False,,, ,,,,0,,,0,0,0,
