BluetoothAddress,DeviceId,AccountId,ActivationThreshold,AdvertisingDurationInMilliseconds,AdvertisingIntervalInMilliseconds,IsAutotuneEnabled,BatterySenseIntervalInSeconds,BatteryVoltage,BatteryVoltageThreshold,DisplayName,MagnitudeRMSInMilliGThreshold,FirmwareVersion,GatewayIMEI,HighTemperatureAlarmThresholdInCelsius,IsBatteryGood,IsConnected,IsHighTemperatureAlarmEnabled,IsIndefiniteAdvertisingEnabled,IsInSyncWithPortal,IsLongRangeModeEnabled,IsLowTemperatureAlarmEnabled,IsSensorOfflineAlarmEnabled,LastSeenUtc,Latitude,Longitude,LowTemperatureAlarmThresholdInCelsius,MissedHeartbeatMultiple,NotifyBCExtension,OutputDataRate,ProvisioningState,Scale,SensorAssetTypeId,SensorModelId,SiteId,TemperatureSenseIntervalInSeconds,IsMotionAlarmEnabled,IsLowBatteryAlarmEnabled,IsVibrationSampleEnabled,VibrationIntervalInSeconds,IsVibrationAlarmEnabled,VibrationAlarmThresholdInMilliG,Description,IsLeakAlarmEnabled,LevelReferenceInMillimeters,LeakAlarmLevelThresholdInMillimeters
10203FE748DD,LA1-00001,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,30,15000,1000,0,60,3,2,LA1-00001,960,0.0.2,3.5125E+14,85,1,0,1,1,1,1,1,1,59:49.0,49.28581859,-123.1222929,-40,2,0,5,0,1,18,2,89805107-7331-ee11-bdf4-000d3af4fe83,0,1,0,0,0,0,0,,0,100,0
11222D1FEAC1,MA1-00388,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,15000,1000,0,600,2,2,MA1-00388_FW v1.0.8,640,1.0.801,3.5125E+14,85,1,1,1,0,1,1,1,1,43:00.0,49.2849988,-123.1223154,-40,2,0,5,0,1,25,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,120,1,0,1,3600,1,10000,,0,0,0
1556DF1549F0,BTAT0006,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,4000,1000,0,0,2,2,Reset  test,480,1.0.6,3.5125E+14,85,1,0,0,0,1,1,0,0,11:15.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,900,1,0,1,3600,0,0,,0,100,0
1677659ED4FE,LA1-00004,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,30,15000,1000,0,1800,2,2,LA1-00004,960,0.0.4,3.5125E+14,85,1,0,0,1,1,1,0,0,27:11.0,49.28587048,-123.122136,-40,2,0,5,0,1,,2,89805107-7331-ee11-bdf4-000d3af4fe83,0,0,0,0,3600,0,0,,0,100,0
2023D87B9EF0,MA1-01270,55a0919b-3a7c-ef11-ac20-0022483c4e5c,127,15000,1000,0,3600,2,2,HP21 - Compressor,4064,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,37:21.0,49.28173538,-123.1297272,-40,2,0,5,0,1,25,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
258790F60CDD,MA1-00016,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,127,15000,1000,0,0,3,2,MA1-00016,4064,1.0.6,3.5125E+14,30,1,0,1,0,1,1,1,0,33:33.0,,,0,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,1800,0,0,1,3600,0,0,,0,100,0
25A596BB0BF4,BTAT0081,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,15000,1000,0,0,2,2,BTAT0081_FW v1.0.8,640,1.0.801,3.5125E+14,85,1,1,1,0,1,1,1,1,44:21.0,49.286436,-123.122038,-40,2,0,5,0,1,16,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,120,1,0,1,3600,1,10000,,0,0,0
2C3E44958CD1,BTAT0041,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,40,15000,1000,0,1800,2,2,BTAT0041_Display,1280,1.0.8,3.5125E+14,24,1,0,1,0,1,1,1,1,17:12.0,49.28494206,-123.1212505,6,2,1,5,0,1,17,1,f6e686db-d045-4790-9f54-1aa686fad426,240,1,0,0,3600,0,0,,0,100,0
2C93E793C4D9,BTAT0051,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,2000,501,0,120,3,2,BTAT0051,480,1.9.8,3.5125E+14,85,1,0,1,0,0,1,1,1,27:58.0,49.28584339,-123.1221452,-20,2,0,5,0,1,14,1,89805107-7331-ee11-bdf4-000d3af4fe83,240,1,0,0,0,0,0,Development device,0,100,0
314A3CFB20EF,LA1-00003,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,10,4000,1000,0,60,3,2,LA1-00003 Floor 23 Dishwasher CoGo,320,0.0.4,3.5125E+14,84,1,0,0,1,1,1,0,1,27:51.0,49.28578513,-123.1222767,-40,2,0,5,0,1,18,2,89805107-7331-ee11-bdf4-000d3af4fe83,0,1,0,0,0,0,0,,0,100,0
32E7FC97E7D1,BTAT0079,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,20,4000,1000,0,60,2,2,BTAT0079,640,1.0.5,3.5125E+14,85,1,0,0,1,1,1,0,1,22:50.0,49.28584942,-123.1222689,-40,2,0,5,0,1,14,1,89805107-7331-ee11-bdf4-000d3af4fe83,900,1,0,0,0,0,0,,0,100,0
33E774854CFB,BTAT0047,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,25,15000,1000,0,600,2,2,BTAT0047,800,1.0.8,3.5125E+14,21,1,1,1,1,1,1,1,1,32:26.0,49.28494206,-123.1212505,2,2,1,5,0,1,18,1,f377233f-3176-43d7-81d9-31879071746d,600,1,0,1,3600,1,10001,Senor in Fridge,0,0,0
33F285DF2AF3,MA1-00260,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,45,15000,1000,1,300,2,2,CoffeeMachine -00260,1440,1.0.8,3.5125E+14,27,1,1,1,1,1,1,1,1,35:27.0,49.28651433,-123.1221387,17,2,1,5,0,1,18,1,F377233F-3176-43D7-81D9-31879071746D,720,1,0,1,3600,1,10000,This is the sensor mounted on the coffee machine,0,0,0
344AA8109BCE,BTAT0045,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,25,5000,501,0,960,2,2,BTAT0045_Display1,800,1.0.801,3.5125E+14,24,1,1,1,0,1,1,1,1,07:16.0,49.2854444,-123.1249649,2,2,1,5,0,1,18,1,f6e686db-d045-4790-9f54-1aa686fad426,660,1,1,1,3600,1,10000,Sensor running on Dev connected to gateway AGW0035,0,100,0
36F7E8A12BF7,MA1-01254,55a0919b-3a7c-ef11-ac20-0022483c4e5c,30,15000,1000,0,3600,2,2,HP21 - Fan Motor,960,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,31:06.0,49.28174088,-123.1297067,-40,2,0,5,0,1,25,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
3AE753C3FED2,MA1-00011,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,35,15000,1000,0,0,2,2,Outdoor test,1120,1.0.4,3.5125E+14,85,1,1,0,1,1,1,0,0,00:01.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,2700,1,0,0,0,0,0,,0,100,0
3ED4D20CEBF9,BTAT0055,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,45,15000,1000,0,780,3,2,BTAT0055,1440,1.0.5,3.5125E+14,85,0,0,0,1,1,1,0,1,45:09.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,660,1,0,0,0,0,0,,0,100,0
415D9F1780DB,MA1-00022,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,30,15000,1000,0,1800,2,2,Freezer test,960,1.0.4,3.5125E+14,85,0,1,0,1,1,1,0,0,06:18.0,48.3,-123.5,-20,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,900,0,0,0,3600,0,0,.,0,100,0
4192EFB694D7,MA1-01256,55a0919b-3a7c-ef11-ac20-0022483c4e5c,127,120000,1000,0,3600,3,2,HP3- Compressor,4064,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,43:33.0,49.28190258,-123.1294812,-40,2,0,5,0,1,15,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
4347730C4AEA,MA1-01311,85a8fb3b-d064-eb11-a812-000d3a09c0c9,10,4000,1000,0,1800,2,2,Platform 1 ,320,1.0.8,3.5125E+14,85,1,1,1,1,1,1,1,1,41:24.0,41.11732356,-100.7203403,-20,2,1,5,0,1,14,1,6c19ff5a-27ce-4335-b545-96086e08f42d,900,1,0,0,3600,0,0,Lachlan's Desk,0,0,0
4515AFBFDDE4,MA1-00404,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,20000,2000,0,600,2,2,MA1-00404_FW v1.0.8,640,1.0.801,3.5125E+14,85,1,1,1,0,1,1,1,1,38:50.0,49.2849298,-123.1239968,-40,2,0,5,0,1,16,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,0,1,0,1,3600,1,10000,,0,0,0
48F2325228C0,MA1-01262,85a8fb3b-d064-eb11-a812-000d3a09c0c9,15,4000,1000,0,3600,2,2,Nathans Sensor 1,480,1.0.1,3.5125E+14,50,0,1,0,0,1,1,0,1,30:19.0,54.09808217,-116.6175273,-60,2,1,5,0,1,23,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,900,1,0,0,3600,0,0,,0,0,0
4B861F9FB2F1,BTAT0057,85a8fb3b-d064-eb11-a812-000d3a09c0c9,25,2000,500,0,600,3,2,BTAT0057_FW v1.0.8,800,1.0.8,3.5125E+14,85,1,1,1,0,1,1,0,1,43:08.0,49.2867134,-123.1257675,-40,2,0,5,0,1,14,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,300,1,0,1,3600,1,10000,,0,0,0
4C4A0C0405C7,MA1-01283,85a8fb3b-d064-eb11-a812-000d3a09c0c9,10,4000,1000,0,1800,2,2,Gate Valve 17,320,1.0.8,3.5125E+14,30,1,1,1,1,1,1,1,1,37:01.0,41.11661227,-100.7200915,-20,2,1,5,0,1,14,1,6c19ff5a-27ce-4335-b545-96086e08f42d,1200,1,0,0,3600,0,0,,0,0,0
4F78D4501CE6,MA1-00024,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,2000,500,0,600,2,2,MA1-00024_FW v1.0.1,640,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,42:59.0,49.2864027,-123.1237927,-40,2,0,5,0,1,15,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,0,1,0,1,3600,1,10000,,0,0,0
5423E8B53DF8,MA1-01322,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,0,2,2,Karens Sensor 2,960,1.0.4,3.5125E+14,85,1,0,0,1,1,1,0,0,36:08.0,49.2784024,-122.88559,-40,2,0,5,0,1,25,1,305c1fdc-f04f-4d58-93aa-cc5eea9e4f9f,900,0,0,0,0,0,0,,0,0,0
546306B213D9,MA1-00328,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,1800,2,2,Mazak Nexus 450-II Slew Bearing Outer MA1-00328,960,1.0.8,3.5125E+14,40,1,1,1,0,1,1,0,1,41:39.0,53.48139507,-113.4841086,-20,2,0,5,0,1,25,1,cd2ff6b5-f5c9-473a-9ce1-7dfe68538fc3,900,0,0,1,3600,1,2000,CNC Machine-Vibration-Velcro pad,0,0,0
560A229C88FB,BTAT0075,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,20,4000,1000,1,60,2,2,BTAT0075,640,1.0.5,3.5125E+14,85,0,0,0,1,0,1,0,1,21:28.0,49.62328633,-123.2043863,-40,2,0,5,0,1,14,1,89805107-7331-ee11-bdf4-000d3af4fe83,900,1,0,0,0,0,0,,0,100,0
565F129C09F7,MA1-00352,85a8fb3b-d064-eb11-a812-000d3a09c0c9,25,5000,1000,0,600,2,2,MA1-00352_FW v1.0.1,800,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,44:24.0,49.285836,-123.123214,-40,2,0,5,0,1,25,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,0,1,0,1,3600,1,10000,,0,0,0
5E1CA0B943FB,MA1-00009,85a8fb3b-d064-eb11-a812-000d3a09c0c9,25,20000,2000,0,600,2,2,MA1-00009_FW v1.0.8,800,1.0.801,3.5125E+14,50,1,1,1,0,1,1,1,1,42:08.0,49.2852426,-123.1254247,-2,2,0,5,0,1,14,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,300,1,0,1,3600,1,10000,,0,0,0
5E2C97CA3CDE,MA1-00019,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,15000,1000,0,1800,2,2,MA1-00019,960,1.0.1,,85,0,0,0,1,0,1,0,0,19:17.0,,,-40,2,1,5,0,1,14,1,7ee16989-d9bf-40df-9d9e-696209cf11a9,900,0,0,0,0,0,0,,0,0,0
5F86DD4209F4,BTAT0059,85a8fb3b-d064-eb11-a812-000d3a09c0c9,20,4000,1000,0,0,3,2,BTAT0059_FW v1.0.8,640,1.0.8,3.5125E+14,85,1,1,1,0,1,1,1,1,44:11.0,49.2859205,-123.1247121,-40,2,0,5,0,1,23,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,120,1,0,1,3600,1,10000,test production,0,0,0
69DA280888E8,BTAT0054,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,4000,1000,0,0,2,2,BTAT0054,480,1.0.6,3.5125E+14,85,1,0,0,0,1,1,0,0,26:33.0,48.36,-123.5,-20,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,120,1,0,1,3600,0,0,,0,100,0
6B1819D818F1,BTAT0037,85a8fb3b-d064-eb11-a812-000d3a09c0c9,30,1000,250,0,780,2,2,BTAT0037_FW v1.0.8,960,1.0.8,3.5125E+14,85,1,1,1,0,1,1,1,1,44:25.0,49.2857134,-123.1257675,-40,2,0,5,0,1,14,1,b7606a7c-a3bb-4f25-af37-6ce00d49cbd0,300,1,0,1,3600,1,10000,Prod Sensor ,0,0,0
6FEC03FD94DC,BTAT0046,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,30,2000,500,0,600,2,2,BTAT0046,960,1.0.8,3.5125E+14,40,1,1,1,1,1,1,1,1,30:36.0,49.2870421,-123.1212505,0,2,1,5,0,1,32,1,f377233f-3176-43d7-81d9-31879071746d,600,1,0,0,3600,0,0,,0,100,0
7B1D1E4D42F5,BTAT0052,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,55,4000,1000,0,120,3,2,Battery Test,1760,1.0.6,3.5125E+14,127,1,0,0,1,1,1,0,0,50:10.0,48.3,-123.5,-127,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,300,0,0,0,0,0,0,,0,100,0
7D7E9E392CCD,MA1-00344,85a8fb3b-d064-eb11-a812-000d3a09c0c9,35,15000,1000,0,1800,2,2,Mazak Nexus 450-II M Oil Motor Spindle Line MA1-00344,1120,1.0.8,3.5125E+14,30,1,1,1,0,1,1,0,1,30:13.0,53.48139507,-113.4841086,-20,2,0,5,0,1,25,1,cd2ff6b5-f5c9-473a-9ce1-7dfe68538fc3,900,1,0,1,3600,1,7000,CNC Machine-Vibration & Temp-Cable Tie,0,0,0
83CD307A61F3,MA1-01276,55a0919b-3a7c-ef11-ac20-0022483c4e5c,30,15000,1000,0,3600,2,2,HP3- Fan Motor,960,1.0.1,3.5125E+14,85,1,1,1,0,1,1,1,1,37:41.0,49.28189226,-123.1295153,-40,2,0,5,0,1,25,1,2527DD52-F661-42B9-A391-F6042DDAB716,1200,0,0,0,3600,0,0,,0,0,0
894013801ECB,BTAT0008,b1a7a54e-fd59-ec11-8f8e-000d3a09c7d0,15,4000,1000,0,0,2,2,Reset  test,480,1.0.6,3.5125E+14,85,1,0,0,0,1,1,0,0,48:37.0,48.3,-123.5,-40,2,0,5,0,1,,1,b5f34ea9-da8a-ed11-81ad-002248d51dac,120,1,0,1,3600,0,0,,0,100,0
