DeviceToCloudMessageId,SensorId,EventTimeUtc,FrequencyInHz,MagnitudeXInMilliG,MagnitudeYInMilliG,MagnitudeZInMilliG,FrequencyBinId,MagnitudeRMSInMilliG,Id,AlarmId,MagnitudeRMSInMilliGThreshold
fbbf047c-7af5-45f5-ae8e-590bd05c77ca,4C4A0C0405C7,2024-10-24 16:53:34.0000000,34,934,3203,3371,1,4743,5737,,0
fbbf047c-7af5-45f5-ae8e-590bd05c77ca,4C4A0C0405C7,2024-10-24 16:53:34.0000000,41,4148,4938,4837,2,8062,5738,,0
fbbf047c-7af5-45f5-ae8e-590bd05c77ca,4C4A0C0405C7,2024-10-24 16:53:34.0000000,78,1502,2173,3040,3,4028,5739,,0
fbbf047c-7af5-45f5-ae8e-590bd05c77ca,4C4A0C0405C7,2024-10-24 16:53:34.0000000,119,2679,79350,87596,4,118223,5740,,0
fbbf047c-7af5-45f5-ae8e-590bd05c77ca,4C4A0C0405C7,2024-10-24 16:53:34.0000000,153,265,1322,2912,5,3209,5741,,0
a9df09ac-014f-413b-9b08-25207b28c660,4C4A0C0405C7,2024-10-24 16:53:34.0000000,34,934,3203,3371,1,4743,5742,,0
a9df09ac-014f-413b-9b08-25207b28c660,4C4A0C0405C7,2024-10-24 16:53:34.0000000,41,4148,4938,4837,2,8062,5743,,0
a9df09ac-014f-413b-9b08-25207b28c660,4C4A0C0405C7,2024-10-24 16:53:34.0000000,78,1502,2173,3040,3,4028,5744,,0
a9df09ac-014f-413b-9b08-25207b28c660,4C4A0C0405C7,2024-10-24 16:53:34.0000000,119,2679,79350,87596,4,118223,5745,,0
a9df09ac-014f-413b-9b08-25207b28c660,4C4A0C0405C7,2024-10-24 16:53:34.0000000,153,265,1322,2912,5,3209,5746,,0
7784a63f-d138-4bba-99ea-49d435822835,4C4A0C0405C7,2024-10-24 16:53:34.0000000,34,934,3203,3371,1,4743,5747,,0
7784a63f-d138-4bba-99ea-49d435822835,4C4A0C0405C7,2024-10-24 16:53:34.0000000,41,4148,4938,4837,2,8062,5748,,0
7784a63f-d138-4bba-99ea-49d435822835,4C4A0C0405C7,2024-10-24 16:53:34.0000000,78,1502,2173,3040,3,4028,5749,,0
7784a63f-d138-4bba-99ea-49d435822835,4C4A0C0405C7,2024-10-24 16:53:34.0000000,119,2679,79350,87596,4,118223,5750,,0
